a  Lycodapus_extensus
a  Bathycongrus_nasicus  Alcock_1894
a  Bathygadus_furvescens  Alcock_1894
a  Bembrops_platyrhynchus  Alcock_1894
a  Caelorinchus_flabellispinnis  Alcock_1894
a  Chascanopsetta_lugubris  Alcock_1894
a  Chlorophthalmus_corniger  Alcock_1894
a  Coccorella_atrata  Alcock_1894
a  Glyptophidium_macropus  Alcock_1894
a  Gnathophis_musteliceps  Alcock_1894
a  Halieutaea_fumosa  Alcock_1894
a  Lophiodes_mutilus  Alcock_1894
a  Lophius_lugubris  Alcock_1894
a  Neobythites_steatiticus  Alcock_1894
a  Peristedion_riversandersoni  Alcock_1894
a  Physiculus_argyropastus  Alcock_1894
a  Poecilopsetta_praelonga  Alcock_1894
a  Rexea_bengalensis  Alcock_1894
a  Rhynchoconger_squaliceps  Alcock_1894
a  Setarches_longimanus  Alcock_1894
a  Sphagemacrurus_pumiliceps  Alcock_1894
a  Symphurus_trifasciatus  Alcock_1894
a  Triacanthodes_ethiops  Alcock_1894
a  Xenomystax_trucidans  Alcock_1894
a  Diplacanthopoma_riversandersoni  Alcock_1895
a  Bathypterois_atricolor  Alcock_1896
a  Monomitopus_conjugator  Alcock_1896
a  Parapterois_macrura  Alcock_1896
a  Parascorpaena_erostris  Alcock_1896
a  Porogadus_melampeplus  Alcock_1896
a  Scopelarchus_guentheri  Alcock_1896
a  Diplacanthopoma_raniceps  Alcock_1898
a  Nettenchelys_taylori  Alcock_1898
a  Polymetme_corythaeola  Alcock_1898
a  Rouleina_squamilatera  Alcock_1898
a  Satyrichthys_investigatoris  Alcock_1898
a  Satyrichthys_serrulatus  Alcock_1898
a  Triplophysa_yasinensis  Alcock_1898
a  Halimochirurgus_centriscoides  Alcock_1899
a  Leptoderma_affinis  Alcock_1899
a  Lophiodes_gracilimanus  Alcock_1899
a  Leuciscus_aphipsi  Aleksandrov_1927
a  Trichomycterus_caudofasciatus  Alencar_and_Costa_2004
a  Trichomycterus_pantherinus  Alencar_and_Costa_2004
a  Assurger_anzac  Alexander_1917
a  Akysis_hendricksoni  Alfred_1966
a  Homaloptera_ogilviei  Alfred_1967
a  Homaloptera_nebulosa  Alfred_1969
a  Cyprinion_mhalensis  Alkahem_and_Behnke_1983
a  Canthigaster_inframacula  Allen_&_Randall_1977
a  Canthigaster_marquesensis  Allen_&_Randall_1977
a  Canthigaster_ocellicincta  Allen_&_Randall_1977
a  Canthigaster_pygmaea  Allen_&_Randall_1977
a  Canthigaster_rapaensis  Allen_&_Randall_1977
a  Canthigaster_smithae  Allen_&_Randall_1977
a  Canthigaster_tyleri  Allen_&_Randall_1977
a  Antennarius_randalli  Allen_1970
a  Amphiprion_akindynos  Allen_1972
a  Amphiprion_chagosensis  Allen_1972
a  Amphiprion_fuscocaudatus  Allen_1972
a  Amphiprion_latifasciatus  Allen_1972
a  Amphiprion_sandaracinos  Allen_1972
a  Amphiprion_leucokranos  Allen_1973
a  Bodianus_bimaculatus  Allen_1973
a  Chrysiptera_caeruleolineata  Allen_1973
a  Chrysiptera_starcki  Allen_1973
a  Pomacentrus_nigromarginatus  Allen_1973
a  Paracheilinus_filamentosus  Allen_1974
a  Chrysiptera_niger  Allen_1975
a  Chrysiptera_notialis  Allen_1975
a  Chrysiptera_talboti  Allen_1975
a  Neoglyphidodon_carlsoni  Allen_1975
a  Pomacentrus_albimaculus  Allen_1975
a  Chromis_westaustralis  Allen_1976
a  Parapercis_biordinis  Allen_1976
a  Pseudanthias_georgei  Allen_1976
a  Scorpaenodes_steenei  Allen_1977
a  Trachinops_brauni  Allen_1977
a  Melanotaenia_exquisita  Allen_1978
a  Melanotaenia_gracilis  Allen_1978
a  Melanotaenia_pygmaea  Allen_1978
a  Chilatherina_axelrodi  Allen_1979
a  Melanotaenia_monticola  Allen_1980
a  Melanotaenia_parkinsoni  Allen_1980
a  Glossolepis_maculosus  Allen_1981
a  Melanotaenia_herbertaxelrodi  Allen_1981
a  Melanotaenia_papuae  Allen_1981
a  Melanotaenia_pimaensis  Allen_1981
a  Pseudomugil_connieae  Allen_1981
a  Melanotaenia_corona  Allen_1982
a  Melanotaenia_misoolensis  Allen_1982
a  Parambassis_altipinnis  Allen_1982
a  Conniella_apterygia  Allen_1983
a  Kiunga_ballochi  Allen_1983
a  Melanotaenia_maylandi  Allen_1983
a  Hephaestus_lineatus  Allen_1984
a  Rabaulichthys_altipinnis  Allen_1984
a  Chilatherina_bleheri  Allen_1985
a  Glossolepis_ramuensis  Allen_1985
a  Melanotaenia_irianjaya  Allen_1985
a  Oloplotosus_torobo  Allen_1985
a  Amsichthys_knighti  Allen_1987
a  Apogon_pallidofasciatus  Allen_1987
a  Cercamia_eremia  Allen_1987
a  Chrysiptera_sinclairi  Allen_1987
a  Lubbockichthys_multisquamatus  Allen_1987
a  Melanotaenia_iris  Allen_1987
a  Parma_kermadecensis  Allen_1987
a  Pseudoplesiops_howensis  Allen_1987
a  Steeneichthys_nativitatus  Allen_1987
a  Vincentia_badia  Allen_1987
a  Vincentia_macrocauda  Allen_1987
a  Melanotaenia_angfa  Allen_1990
a  Melanotaenia_arfakensis  Allen_1990
a  Melanotaenia_parva  Allen_1990
a  Neoglyphidodon_crossi  Allen_1991
a  Plectroglyphidodon_randalli  Allen_1991
a  Pomacentrus_adelus  Allen_1991
a  Pomacentrus_arabicus  Allen_1991
a  Pomacentrus_auriventris  Allen_1991
a  Pomacentrus_azuremaculatus  Allen_1991
a  Pomacentrus_baenschi  Allen_1991
a  Pomacentrus_colini  Allen_1991
a  Pomacentrus_cuneatus  Allen_1991
a  Pomacentrus_indicus  Allen_1991
a  Pomacentrus_javanicus  Allen_1991
a  Pomacentrus_polyspinus  Allen_1991
a  Pomacentrus_proteus  Allen_1991
a  Pomacentrus_similis  Allen_1991
a  Pomacentrus_xanthosternus  Allen_1991
a  Stenogobius_lachneri  Allen_1991
a  Pomacentrus_limosus  Allen_1992
a  Pseudamia_nigra  Allen_1992
a  Fowleria_flammea  Allen_1993
a  Pomacentrus_armillatus  Allen_1993
a  Pomacentrus_geminospilus  Allen_1993
a  Siphamia_corallicola  Allen_1993
a  Amblyglyphidodon_batunai  Allen_1995
a  Apogon_unitaeniatus  Allen_1995
a  Cirrhilabrus_randalli  Allen_1995
a  Pomacentrus_saksonoi  Allen_1995
a  Pseudochromis_howsoni  Allen_1995
a  Thalassoma_robertsoni  Allen_1995
a  Melanotaenia_caerulea  Allen_1996
a  Melanotaenia_mubiensis  Allen_1996
a  Oxyeleotris_caeca  Allen_1996
a  Lentipes_watsoni  Allen_1997
a  Melanotaenia_sylvatica  Allen_1997
a  Apogon_komodoensis  Allen_1998
a  Paraplotosus_butleri  Allen_1998
a  Pelangia_mbutaensis  Allen_1998
a  Altrichthys_curatus  Allen_1999
a  Chrysiptera_cymatilis  Allen_1999
a  Cirrhilabrus_morrisoni  Allen_1999
a  Myersina_larsonae  Allen_1999
a  Pomacentrus_bintanensis  Allen_1999
a  Pomacentrus_komodoensis  Allen_1999
a  Cirrhilabrus_joanallenae  Allen_2000
a  Apogon_leptofasciatus  Allen_2001
a  Apogon_oxygrammus  Allen_2001
a  Eviota_mikiae  Allen_2001
a  Eviota_raja  Allen_2001
a  Glossolepis_dorityi  Allen_2001
a  Lentipes_multiradiatus  Allen_2001
a  Pomacentrus_atriaxillaris  Allen_2002
a  Pomacentrus_caeruleopunctatus  Allen_2002
a  Kiunga_bleheri  Allen_2004
a  Pomacentrus_aurifrons  Allen_2004
a  Chrysiptera_pricei  Allen_and_Adrim_1992
a  Amblypomacentrus_clarus  Allen_and_Adrim_2000
a  Acanthurus_albipectoralis  Allen_and_Ayling_1987
a  Chrysiptera_albata  Allen_and_Bailey_2002
a  Glossogobius_hoesei  Allen_and_Boeseman_1982
a  Oxyeleotris_wisselensis  Allen_and_Boeseman_1982
a  Pseudanthias_hutomoi  Allen_and_Burhanuddin_1976
a  Eleotris_aquadulcis  Allen_and_Coates_1990
a  Glossolepis_pseudoincisus  Allen_and_Cross_1980
a  Melanotaenia_ajamaruensis  Allen_and_Cross_1980
a  Melanotaenia_boesemani  Allen_and_Cross_1980
a  Melanotaenia_japenensis  Allen_and_Cross_1980
a  Melanotaenia_oktediensis  Allen_and_Cross_1980
a  Melanotaenia_eachamensis  Allen_and_Cross_1982
a  Sargocentron_lepros  Allen_and_Cross_1983
a  Pomachromis_exilis  Allen_and_Emery_1973
a  Stegastes_insularis  Allen_and_Emery_1985
a  Stegastes_pelicieri  Allen_and_Emery_1985
a  Neosiluroides_cooperensis  Allen_and_Feinberg_1998
a  Neosilurus_gloveri  Allen_and_Feinberg_1998
a  Neosilurus_mollespiculum  Allen_and_Feinberg_1998
a  Neosilurus_pseudospinosus  Allen_and_Feinberg_1998
a  Cheilodactylus_rubrolabiatus  Allen_and_Heemstra_1976
a  Parma_alboscapularis  Allen_and_Hoese_1975
a  Parma_occidentalis  Allen_and_Hoese_1975
a  Mogurnda_furva  Allen_and_Hoese_1986
a  Mogurnda_kutubuensis  Allen_and_Hoese_1986
a  Mogurnda_spilota  Allen_and_Hoese_1986
a  Mogurnda_vitta  Allen_and_Hoese_1986
a  Mogurnda_cingulata  Allen_and_Hoese_1991
a  Mogurnda_lineata  Allen_and_Hoese_1991
a  Mogurnda_orientalis  Allen_and_Hoese_1991
a  Pseudomugil_mellis  Allen_and_Ivantsoff_1982
a  Pseudomugil_paskai  Allen_and_Ivantsoff_1986
a  Pseudomugil_reticulatus  Allen_and_Ivantsoff_1986
a  Pseudomugil_pellucidus  Allen_and_Ivantsoff_in_Allen_Ivantsoff_Shepherd_and_Renyaan_1998
a  Hephaestus_komaensis  Allen_and_Jebb_1993
